Twitter Handle & User Name,Tweet, external URL,Date of Tweet,Followers,Following,RT,FAV
"CBR , Comic Book Resources",b'RUMOR: Marvel Has Different Plans for Its #Avengers4 Marketing https://t.co/fpehjAoWba https://t.co/NUz52NVkB6',https://buff.ly/2A9xG6s,Thu Nov 22 06:31:02 +0000 2018,234940,832,12,40
"BestMovieLine , Best Movie Line",b'Mrs. Doubtfire https://t.co/tCB3fPHi6p',no external urls in this tweet,Thu Nov 22 06:30:33 +0000 2018,493176,38,15,78
"DepressedDarth , Darth Vader","b""'Last Jedi' Director Defends Luke's Fate https://t.co/c80ufKFy26""",https://goo.gl/XTN5Ac,Thu Nov 22 06:28:26 +0000 2018,817375,314,1,17
"BestMovieLine , Best Movie Line",b'Apocalypse Now https://t.co/YrOSL7eulJ',no external urls in this tweet,Thu Nov 22 06:15:31 +0000 2018,493176,38,10,25
"SwiftOnSecurity , SwiftOnSecurity",b'Go to bed it\\u2019s Thanksgiving tomorrow you need your rest https://t.co/J5A1cInitm',no external urls in this tweet,Thu Nov 22 06:13:44 +0000 2018,247692,8090,5,75
"MattFeigel , Matt Feigel",b'RT @Podolski10: \\U0001f5d3 #OnThisDay in 2012... #arsenal #Poldi #coyg \\U0001f4aa\\U0001f3fb\\u26bd\\ufe0f\\U0001f44a\\U0001f3fb #AlwaysAGunner @Arsenal https://t.co/NYmSZIgCIO',no external urls in this tweet,Thu Nov 22 06:12:21 +0000 2018,233,181,1640,0
"MattFeigel , Matt Feigel","b""I've got @TigerWoods to beat @PhilMickelson in #CapitalOnesTheMatch #TeamTiger""",no external urls in this tweet,Thu Nov 22 06:09:54 +0000 2018,233,181,0,0
"DepressedDarth , Darth Vader",b'*sees crush kissing someone else*\\n\\nme: https://t.co/53ol4NawRp',no external urls in this tweet,Thu Nov 22 06:07:26 +0000 2018,817375,314,21,141
"SwiftOnSecurity , SwiftOnSecurity",b'RT @IHLaking: if you need some wholesomeness today here\\u2019s a husky gently booping a balloon \\U0001f388 https://t.co/VWU47Lbaqp',no external urls in this tweet,Thu Nov 22 06:07:10 +0000 2018,247692,8090,41960,0
"SwiftOnSecurity , SwiftOnSecurity",b'Whaaaaa https://t.co/aBpjmpUe07',no external urls in this tweet,Thu Nov 22 06:03:35 +0000 2018,247692,8090,0,38
"SwiftOnSecurity , SwiftOnSecurity",b'RT @SoatokDhole: @SwiftOnSecurity Someone just hacked life',no external urls in this tweet,Thu Nov 22 06:01:53 +0000 2018,247692,8090,3,0
"CBR , Comic Book Resources","b""What Ralph Breaks the Internet's Ending Means For the Franchise\\nhttps://t.co/shNjz7d2ls https://t.co/aKh3LYHgeK""",https://buff.ly/2A80g8e,Thu Nov 22 06:01:02 +0000 2018,234940,832,3,16
"BestMovieLine , Best Movie Line",b'Casino https://t.co/CWFp3B28D4',no external urls in this tweet,Thu Nov 22 06:00:27 +0000 2018,493176,38,30,81
"SwiftOnSecurity , SwiftOnSecurity",b'Wait you can do that https://t.co/TWjRZ7GeOe',https://twitter.com/icecrime/status/1065483753802338309,Thu Nov 22 05:59:25 +0000 2018,247692,8090,27,213
"JSBMjeanshorts , Jeanshorts",b'@jsbmbaggedmilk @beardsbrown https://t.co/2jlUTsNtd0',no external urls in this tweet,Thu Nov 22 05:59:04 +0000 2018,5437,97,0,0
"KeroppiChoppi , gawasaki","b""What shocks me most is that she has to have a membership she just doesn't use""",no external urls in this tweet,Thu Nov 22 05:57:50 +0000 2018,181,494,0,0
"KeroppiChoppi , gawasaki","b""Lol this guy's girlfriend came along to the gym and is just moving to the nearest benches and playing on her phone while he works out""",no external urls in this tweet,Thu Nov 22 05:51:11 +0000 2018,181,494,0,2
"GoldenKnights , Vegas Golden Knights","b""\\U0001f3a5 Gallant: Pacioretty is one of those players where, when he's putting the puck in the net, he gains confidence and\\u2026 https://t.co/oZQyNzusFP""",https://twitter.com/i/web/status/1065481396578185216,Thu Nov 22 05:45:35 +0000 2018,422000,639,24,241
"BestMovieLine , Best Movie Line",b'Big Bang Theory https://t.co/N7HMGjzmJm',no external urls in this tweet,Thu Nov 22 05:45:33 +0000 2018,493176,38,26,84
"DepressedDarth , Darth Vader",b'I\\u2019m an inspiration https://t.co/25nIavJs7I',no external urls in this tweet,Thu Nov 22 05:43:27 +0000 2018,817375,314,148,411
"SwiftOnSecurity , SwiftOnSecurity",b'Invoke with Cortana by Microsoft $50.\\nI have two. Works with Spotify and utterly superior audio quality to any Amaz\\u2026 https://t.co/O35pl02igd',https://twitter.com/i/web/status/1065479925837299712,Thu Nov 22 05:39:44 +0000 2018,247692,8090,2,32
